Dataset,Original Rows,Columns,Type,Silhouettescore,DaviesBouldinscore,Calinskiharabazscore,Cohesionscore,Separationscore,RMSSTDscore,RSscore,XBscore,Adjustedrandomscore,Adjusted_mutual_info_score,Fowlkes_mallows_score,Normalizedmutualinfoscore,imbalanced_ratio_before_sampling,total_hypersphere,hypersphere_minority,hypersphere_majority,samplesperhypersphere,samplesperhypersphere_minority,samplesperhypersphere_majority,Average distance between class,overlapping,None,SMOTE,NearMiss,SMOTEENN,Randomoversampling,ADASYN,BorderlineSMOTE,SVMSMOTE,RandomUnderSampler,ClusterCentroids,NearMissversion1,NearMissversion2,NearMissversion3,TomekLinks,EditedNearestNeighbours,RepeatedEditedNearestNeighbours,AllKNN,CondensedNearestNeighbour,NeighbourhoodCleaningRule,InstanceHardnessThreshold,SMOTETomek,KNN,DT,GNB,SVM,RF,F1,G-mean,Accuracy,Precision,Recall
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.563490105,0.593222246,0.630147059,0.756111111,0.472222222
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.70001548,0.701164953,0.703676471,0.715396825,0.691666667
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.728238866,0.734669793,0.751470588,0.826428571,0.666666667
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.719172932,0.702562481,0.714705882,0.735367965,0.713888889
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.699967679,0.697531361,0.714705882,0.736190476,0.686111111
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.986733595,0.985506722,0.98585408,0.982943881,0.990600394
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.947985582,0.943123998,0.944218534,0.938732363,0.957652559
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7523321,0.714109709,0.72354426,0.721539967,0.788459646
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.950443449,0.945603892,0.946715076,0.940382821,0.960826772
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.972558873,0.970526387,0.970867911,0.970423359,0.974913878
