Dataset,Original Rows,Columns,Type,Silhouettescore,DaviesBouldinscore,Calinskiharabazscore,Cohesionscore,Separationscore,RMSSTDscore,RSscore,XBscore,Adjustedrandomscore,Adjusted_mutual_info_score,Fowlkes_mallows_score,Normalizedmutualinfoscore,imbalanced_ratio_before_sampling,total_hypersphere,hypersphere_minority,hypersphere_majority,samplesperhypersphere,samplesperhypersphere_minority,samplesperhypersphere_majority,Average distance between class,overlapping,ComplexityMetric,WeightedCM,DualWeightedCM,None,SMOTE,NearMiss,SMOTEENN,Randomoversampling,ADASYN,BorderlineSMOTE,SVMSMOTE,RandomUnderSampler,ClusterCentroids,NearMissversion1,NearMissversion2,NearMissversion3,TomekLinks,EditedNearestNeighbours,RepeatedEditedNearestNeighbours,AllKNN,CondensedNearestNeighbour,NeighbourhoodCleaningRule,InstanceHardnessThreshold,SMOTETomek,KNN,DT,GNB,SVM,RF,F1,G-mean,Accuracy,Precision,Recall,AUC-ROC,AUC-PR,BalancedAccuracy,CWA
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.973190989,0.97257947,0.972713234,0.98259374,0.692995491,0.994106909,0.992046688,0.20016917,0.057212405
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.966062855,0.963505669,0.964481255,0.939664306,0.757669122,0.97627807,0.975086281,0.191266657,0.124147526
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.940504171,0.938787903,0.939662889,0.86609821,0.756904762,0.945048464,0.957494967,0.193377677,0.124179564
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9231744,0.923253437,0.924521941,0.943343481,0.791947302,0.977469224,0.973490853,0.203391268,0.125455753
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.965178444,0.964137176,0.964469631,0.918030144,0.653685484,0.971560597,0.973180876,0.188927686,0.123094591
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.971665892,0.970573102,0.970932868,0.982883599,0.566544274,0.991216542,0.988543353,0.193624462,0.12434157
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.965974998,0.964733927,0.965086719,0.960927343,0.797853855,0.978945476,0.976646271,0.188134844,0.090527651
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.951529041,0.950705536,0.950867189,0.914435815,0.615478181,0.962095313,0.929471532,0.191750695,0.091410991
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.853390847,0.863857739,0.874376336,0.929632466,0.709754855,0.973731408,0.955032734,0.210771185,0.092750115
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.972540752,0.971237687,0.971620337,0.9220388,0.594694511,0.978362139,0.959176782,0.188647006,0.091141697
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.973227164,0.972567735,0.972713234,0.979610342,0.586425964,0.989301424,0.986674464,0.189592897,0.091245438
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.960141851,0.959206276,0.959610359,0.938805933,0.718638041,0.976108898,0.97334126,0.200274774,0.088075773
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.938950702,0.938681817,0.938857211,0.851019439,0.649640601,0.946715241,0.932878175,0.197675968,0.086136785
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.876851474,0.886171133,0.89622832,0.941074072,0.775739439,0.977435136,0.969256886,0.217327755,0.089712732
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.967550955,0.965509751,0.966185555,0.940836747,0.522170752,0.976359604,0.947199079,0.1999152,0.087971928
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.975387546,0.974723186,0.974893086,0.978995682,0.566942771,0.989284156,0.985111716,0.200552304,0.088053915
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.942173787,0.942973733,0.94402921,0.908114925,0.774295744,0.969356753,0.980204668,0.20280349,0.069021069
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.934564211,0.935409658,0.935738832,0.83399424,0.674170918,0.936243091,0.95199263,0.200782332,0.068923367
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.959009754,0.958342419,0.958483677,0.956399134,0.838341679,0.981780577,0.979159547,0.205480013,0.070469712
